x	y	y-y_quer	(Y-Y_quer)²	Y_dach	Y-Y_dach	(Y-Y_dach)²
2,005	100,97	50,2936363636	2529,4498586777	100,0516012101	0,9183987899	0,8434563373
1,81	90,29	39,6136363636	1569,2401859504	90,2260251274	0,0639748726	0,0040927843
1,62	80,3	29,6236363636	877,559831405	80,6523868929	-0,3523868929	0,1241765223
1,43	70,25	19,5736363636	383,1272404959	71,0787486585	-0,8287486585	0,6868243389
1,22	60,6	9,9236363636	98,4785586777	60,4973590309	0,1026409691	0,0105351685
1,02	49,93	-0,7463636364	0,5570586777	50,4198450999	-0,4898450999	0,2399482219
0,81	40,04	-10,6363636364	113,132231405	39,8384554724	0,2015445276	0,0406201966
0,61	30,05	-20,6263636364	425,4468768595	29,7609415414	0,2890584586	0,0835547925
0,429	20,07	-30,6063636364	936,7494950413	20,6407914338	-0,5707914338	0,3258028609
0,216	9,98	-40,6963636364	1656,1940132231	9,9082390973	0,0717609027	0,0051496272
0,106	4,96	-45,7163636364	2089,9859041322	4,3656064352	0,5943935648	0,3533037098
						
y_quer	50,6763636364	0	10679,9212545455	557,4399999997	11808,7947191058	2,7174645603
						
		R²=	0,9997455539			
