time	V(n003)
0.000000000000000e+000	-2.173067e-005
3.571428613164635e-009	-2.173067e-005
7.142857226329270e-009	-2.173067e-005
1.071428583949391e-008	-2.173067e-005
1.428571445265854e-008	-2.173067e-005
1.785714306582317e-008	-2.173067e-005
2.142857167898781e-008	-2.173067e-005
2.500000029215244e-008	-2.173067e-005
5.000000058430487e-008	-2.173067e-005
1.000000011686097e-007	-2.173067e-005
2.000000023372195e-007	-2.173067e-005
3.438718145533254e-007	-2.173067e-005
6.316154389855371e-007	-2.173067e-005
1.207102687849961e-006	-2.173067e-005
2.358077185578807e-006	-2.173067e-005
4.660026181036502e-006	-2.173067e-005
7.157828642170401e-006	-2.173067e-005
1.017518498610174e-005	-2.173067e-005
1.152599212550533e-005	-2.173067e-005
1.291759936551917e-005	-2.173067e-005
1.381247978721398e-005	-2.173068e-005
1.479115032017372e-005	-2.173067e-005
1.573311646690339e-005	-2.173068e-005
1.690884192016963e-005	-2.173068e-005
1.867743485013730e-005	-2.173067e-005
2.122110240126986e-005	-2.173068e-005
2.569866596471438e-005	-2.173067e-005
3.369214276673434e-005	-2.173068e-005
4.967909637077426e-005	-2.173067e-005
8.165300357885412e-005	-2.173067e-005
1.337035073349317e-004	-2.173067e-005
2.118285073349317e-004	-2.173067e-005
2.899535073349317e-004	-2.173067e-005
3.680785073349317e-004	-2.173067e-005
4.462035073349317e-004	-2.173067e-005
6.024535073349316e-004	-2.173067e-005
6.805785073349316e-004	-2.173067e-005
7.587035073349316e-004	-2.173067e-005
9.707570787635033e-004	-2.173067e-005
1.182810650192075e-003	-2.173067e-005
1.394864221620647e-003	-2.173067e-005
1.606917793049218e-003	-2.173067e-005
1.818971364477790e-003	-2.173067e-005
2.031024935906361e-003	-2.173067e-005
2.243078507334933e-003	-2.173067e-005
2.600221364477790e-003	-2.173067e-005
2.957364221620648e-003	-2.173067e-005
3.314507078763506e-003	-2.173067e-005
3.671649935906363e-003	-2.173067e-005
4.028792793049221e-003	-2.173067e-005
4.385935650192078e-003	-2.173067e-005
4.743078507334935e-003	-2.173067e-005
5.133703507334935e-003	-2.173067e-005
5.524328507334936e-003	-2.173067e-005
5.914953507334937e-003	-2.173067e-005
6.305578507334937e-003	-2.173067e-005
6.696203507334938e-003	-2.173067e-005
7.086828507334938e-003	-2.173067e-005
7.477453507334937e-003	-2.173067e-005
7.700667793049223e-003	-2.173067e-005
7.923882078763510e-003	-2.173067e-005
8.147096364477795e-003	-2.173067e-005
8.370310650192081e-003	-2.173067e-005
8.593524935906366e-003	-2.173067e-005
8.816739221620653e-003	-2.173067e-005
9.039953507334938e-003	-2.173067e-005
9.196203507334938e-003	-2.173067e-005
9.274328507334938e-003	-2.173067e-005
9.352453507334938e-003	-2.173067e-005
9.430578507334938e-003	-2.173067e-005
9.508703507334938e-003	-2.173067e-005
9.586828507334938e-003	-2.173067e-005
9.664953507334938e-003	-2.173067e-005
9.743078507334939e-003	-2.173067e-005
9.821203507334939e-003	-2.173067e-005
9.899328507334939e-003	-2.173067e-005
9.977453507334939e-003	-2.173065e-005
9.987219132334939e-003	-2.173066e-005
9.996033895939354e-003	-2.173067e-005
1.000083996947880e-002	-2.173067e-005
1.000381332340042e-002	-2.173067e-005
1.000642570775739e-002	-2.173067e-005
1.000917372404687e-002	-2.173067e-005
1.001059219493636e-002	-2.173067e-005
1.001151600518897e-002	-2.173068e-005
1.001212556729981e-002	-2.173066e-005
1.001264255531725e-002	-2.173074e-005
1.001316979707814e-002	-2.173063e-005
1.001391753776260e-002	-2.173084e-005
1.001475436763670e-002	-2.172881e-005
1.001531553755702e-002	-2.173489e-005
1.001589920013904e-002	-2.171959e-005
1.001653150145166e-002	-2.147208e-005
1.001675251190304e-002	-2.100255e-005
1.001688770129123e-002	-2.022293e-005
1.001697017145486e-002	-1.930722e-005
1.001703660099917e-002	-1.808381e-005
1.001710530539272e-002	-1.607213e-005
1.001718399479282e-002	-1.234672e-005
1.001726798863369e-002	-5.744802e-006
1.001735207957746e-002	5.469097e-006
1.001743765663205e-002	2.493903e-005
1.001752257351495e-002	5.798356e-005
1.001760793762646e-002	1.148147e-004
1.001769301685258e-002	2.117567e-004
1.001777839035454e-002	3.782260e-004
1.001786359682239e-002	6.625949e-004
1.001794900306051e-002	1.150095e-003
1.001803432331229e-002	1.981562e-003
1.001811988282381e-002	3.394866e-003
1.001820561023951e-002	5.744788e-003
1.001829223994805e-002	9.437500e-003
1.001838145444390e-002	1.446169e-002
1.001843623029657e-002	1.758362e-002
1.001849003463371e-002	1.965069e-002
1.001854757900502e-002	2.038483e-002
1.001860527832688e-002	2.028033e-002
1.001866645366714e-002	2.007156e-002
1.001873219694946e-002	1.997972e-002
1.001881997394107e-002	1.681777e-002
1.001885460167153e-002	1.124256e-002
1.001888791754440e-002	3.312555e-003
1.001890056401246e-002	1.080426e-003
1.001891331281155e-002	-2.289473e-004
1.001892850899641e-002	-1.112027e-003
1.001894525370703e-002	-1.530729e-003
1.001895921382074e-002	-1.570818e-003
1.001897346292693e-002	-1.436291e-003
1.001899022137760e-002	-1.200858e-003
1.001900630563768e-002	-9.757525e-004
1.001902500385305e-002	-7.677204e-004
1.001904481601866e-002	-6.326810e-004
1.001907018509121e-002	-5.722721e-004
1.001910273577344e-002	-6.027933e-004
1.001914423305876e-002	-7.079673e-004
1.001919017280397e-002	-8.284192e-004
1.001923968330391e-002	-9.321749e-004
1.001954429817718e-002	-1.428372e-003
1.002027423164150e-002	-2.547518e-003
1.002095877168591e-002	-3.578960e-003
1.002197732529799e-002	-5.106556e-003
1.002301147765473e-002	-6.654813e-003
